Project,Location,z [m],qc [MPa],qt [MPa],fs [MPa],u2 [MPa],Qt [-],Fr [%],Bq [-],Ic [-],Vertical total stress [kPa],Vertical effective stress [kPa],Void ratio from CPT [-],Total unit weight [kN/m3],Vs [m/s]
HKN,HKN72-SCPT,7.48,20.60224,20.63397856,0.17059116,0.075568,280.8778891,0.832836135,-0.00005416,1.57886531,149.6,72.93,0.609722738,20,249.9
HKN,HKN72-SCPT,8.48,22.89448,22.92973144,0.1822432,0.083932,275.4338637,0.800433046,-0.000130959,1.553658975,169.6,82.68,0.573932307,20,266.64
HKN,HKN72-SCPT,9.47,22.01473077,22.05168915,0.184791539,0.087996154,236.693523,0.84674791,-0.000405921,1.598672769,189.4,92.3325,0.55114939,20,245.42
HKN,HKN72-SCPT,10.48,25.6464,25.68977256,0.21353292,0.103268,249.6179995,0.839720334,-0.000162114,1.565912502,209.6,102.18,0.507601183,20,282.5
HKN,HKN72-SCPT,11.48,26.93276,26.98140272,0.25453596,0.115816,239.0319057,0.952153425,-7.01E-05,1.605444254,229.6,111.93,0.462590904,20,287.849566
HKN,HKN72-SCPT,12.47,15.23011538,15.28334877,0.163581808,0.126746154,123.6863908,1.08776524,-7.13E-05,1.840504814,249.4,121.5825,0.523795475,20,250.85
HKN,HKN72-SCPT,13.48,13.8114,13.86923232,0.15616616,0.137696,103.5391877,1.148919654,-3.40E-05,1.90696622,269.6,131.43,0.518286306,20,250.92
HKN,HKN72-SCPT,14.47,13.08788462,13.131521,0.184133846,0.103896154,90.90835673,1.639641154,-0.003707679,2.052848348,289.4,141.0825,0.482840415,20,270.4
HKN,HKN72-SCPT,15.47,10.69719231,10.80603046,0.217439808,0.259138462,69.75283094,2.253484114,0.020404911,2.251596432,309.4,150.8325,0.443995591,20,291.38
HKN,HKN72-SCPT,16.47,7.666538462,7.773391308,0.154365731,0.254411539,46.34691279,2.275912832,0.016158818,2.376490068,329.4,160.5825,0.492779048,20,281.38
HKN,HKN72-SCPT,17.48,7.68716,7.79933864,0.18398676,0.267092,43.74629531,2.498356781,0.015739692,2.421032034,349.6,170.43,0.452474244,20,288.04
HKN,HKN72-SCPT,18.47,8.196346154,8.364396231,0.154138269,0.400119231,44.52875337,2.316204282,0.042550427,2.406697543,369.4,180.0825,0.475074811,20,269.6233139
HKN,HKN72-SCPT,19.48,5.2154,5.46501104,0.10299624,0.594312,26.67233119,2.062367996,0.117078036,2.566907503,389.6,189.93,0.547223699,20,245.4954524
HKN,HKN72-SCPT,20.98,3.52268,3.98790392,0.0812948,1.107676,17.43816464,2.300688199,0.262731672,2.732860478,419.6,204.555,0.559112556,20,283.14
HKN,HKN72-SCPT,22.48,4.13156,4.4479208,0.10249076,0.75324,18.24894086,2.586644033,0.134664396,2.74618849,449.6,219.18,0.504749427,20,269.16
HKN,HKN72-SCPT,23.97,5.893923077,6.154306923,0.135088346,0.619961539,24.27752811,2.518492666,0.083152555,2.643116082,479.4,233.7075,0.448188847,20,269.18
HKN,HKN72-SCPT,25.48,5.92984,6.14033728,0.15558112,0.501184,22.6591953,2.813082137,0.047247624,2.694731473,509.6,248.43,0.415343435,20,274.2351621
HKN,HKN72-SCPT,28.47,12.12684615,12.26638469,0.183275654,0.332234615,42.10999062,1.682363441,0.00674789,2.281613881,569.4,277.5825,0.377176697,20,296.97
HKN,HKN72-SCPT,29.97,6.494269231,6.746695692,0.113941808,0.601015385,20.97454384,2.722804432,0.087449893,2.752439182,599.4,292.2075,0.437844427,20,303.2092427
HKN,HKN72-SCPT,31.12,11.40188,11.57866808,0.2047998,0.420924,36.12546686,2.300653491,0.022157883,1.935405962,622.4,303.42,0.346410473,20,306.27
HKN,HKN70-SCPT,5.48,14.74408,14.768146,0.14791824,0.0573,274.9487383,1.014979646,8.45E-05,1.689529649,109.6,53.43,0.701092305,20,248.64
HKN,HKN70-SCPT,6.47,21.05880769,21.08548254,0.181275192,0.063511539,331.9432425,0.865475177,-0.000136171,1.565251335,129.4,63.0825,0.626378318,20,253.3278052
HKN,HKN70-SCPT,7.48,22.37388,22.404792,0.1935458,0.0736,305.23236,0.869692425,-0.000136758,1.56853577,149.6,72.93,0.585955387,20,254.4879943
HKN,HKN70-SCPT,8.47,17.02153846,17.05613354,0.176934231,0.082369231,205.2219352,1.06866978,-0.000248192,1.734691017,169.4,82.5825,0.580631903,20,254.9887386
HKN,HKN70-SCPT,9.47,15.23238462,15.271695,0.130789846,0.093596154,163.7725788,0.881940733,-0.000252247,1.727518554,189.4,92.3325,0.615566049,20,256.1315408
HKN,HKN70-SCPT,10.48,12.49904,12.54389936,0.13833092,0.106808,121.3437495,1.635498731,-1.14E-05,1.963897974,209.6,102.18,0.587339665,20,270.2484792
HKN,HKN70-SCPT,11.48,2.8666,2.91477736,0.12613012,0.114708,23.9130827,4.542524798,0.000928617,2.8181483,229.6,111.93,0.614187036,20,256.5071179
HKN,HKN70-SCPT,12.47,32.84346154,32.81739731,0.256185154,-0.062057692,267.4789511,0.801853646,-0.006328898,1.501678355,249.4,121.5825,0.450571408,20,256.7920648
HKN,HKN70-SCPT,13.47,30.91846154,30.97359462,0.297224808,0.131269231,233.9511518,0.968593379,-0.000225732,1.595994288,269.4,131.3325,0.411884833,20,271.2233324
HKN,HKN70-SCPT,14.1,32.93868,32.9992524,0.30071572,0.14422,237.8304191,0.916864656,-9.86E-06,1.56635891,282,137.475,0.403890604,20,256.9569159
HKN,HKN67-SCPT,5.48,18.32852,18.3504188,0.13785812,0.05214,340.7928721,0.760012905,-0.000220617,1.544625793,109.6,53.43,0.715691272,20,207.2
HKN,HKN67-SCPT,6.47,21.32746154,21.35451277,0.154371692,0.064407692,336.2524039,0.728659815,-8.87E-05,1.509472254,129.4,63.0825,0.657501423,20,238.41
HKN,HKN67-SCPT,7.48,21.56296,21.59414584,0.17123512,0.074252,294.4415162,0.800397083,-0.000113554,1.553752997,149.6,72.93,0.60893175,20,290.06
HKN,HKN67-SCPT,8.47,23.87738462,23.91011877,0.169423462,0.077938462,287.0595952,0.712086657,-0.000395345,1.50685173,169.4,82.5825,0.589436135,20,268.1
HKN,HKN67-SCPT,9.47,26.31657692,26.35551415,0.195637423,0.092707692,283.1799667,0.748213411,-0.000163287,1.507210604,189.4,92.3325,0.541152982,20,303.0157894
HKN,HKN67-SCPT,10.47,29.89657692,29.93511192,0.232385192,0.09175,291.3232685,0.782590286,-0.000528366,1.49718952,209.4,102.0825,0.493237848,20,290.9
HKN,HKN67-SCPT,11.47,26.63503846,26.68157931,0.216869846,0.110811539,236.6232332,0.820513158,-0.000254795,1.5606359,229.4,111.8325,0.489410329,20,267.19
HKN,HKN67-SCPT,12.48,24.67792,24.70471432,0.19110164,0.063796,201.0710416,0.790290896,-0.002575676,1.582700496,249.6,121.68,0.497748915,20,287.4187146
